subject,cond,note1,note2,resp,rt
manu,1,7,0,1,600
manu,1,2,7,-1,391
manu,1,1,9,-1,1060
manu,1,0,5,1,480
manu,1,0,6,1,470
manu,1,8,10,1,720
manu,1,9,3,-1,550
manu,1,1,6,1,420
manu,1,11,4,1,450
manu,1,4,11,-1,780
manu,1,6,10,-1,2321
manu,1,3,10,-1,790
manu,1,2,8,-1,1252
manu,1,3,10,-1,381
manu,1,11,4,1,380
manu,1,5,11,-1,651
manu,1,10,3,1,460
manu,1,9,4,1,590
manu,1,8,1,1,711
manu,1,2,9,-1,400
manu,1,9,4,1,790
manu,1,7,0,1,430
manu,1,3,8,-1,510
manu,1,3,10,-1,360
manu,1,0,6,1,741
manu,1,11,6,1,520
manu,1,0,6,1,420
manu,1,1,7,1,631
manu,1,5,0,-1,441
manu,1,9,2,1,460
manu,1,3,5,1,420
manu,1,8,0,-1,881
manu,1,5,10,-1,540
manu,1,9,0,1,572
manu,1,10,3,1,400
manu,1,9,2,1,980
manu,1,4,9,-1,790
manu,1,2,8,-1,510
manu,1,6,1,1,531
manu,1,6,7,1,522
manu,1,10,5,1,381
manu,1,8,3,1,400
manu,1,4,1,-1,510
manu,1,9,2,1,400
manu,1,4,9,-1,370
manu,1,10,4,1,470
manu,1,4,10,-1,320
manu,1,1,7,1,491
manu,1,3,9,1,310
manu,1,2,8,1,331
manu,1,6,1,-1,570
manu,1,1,6,-1,660
manu,1,9,7,-1,1770
manu,1,6,1,-1,490
manu,1,7,2,-1,720
manu,1,10,5,1,880
manu,1,8,1,-1,2000
manu,1,8,2,-1,921
manu,1,2,7,1,780
manu,1,2,8,1,490
manu,1,8,10,1,570
manu,1,9,4,-1,941
manu,1,3,9,1,530
manu,1,0,7,1,1090
manu,1,6,0,-1,620
manu,1,11,4,1,411
manu,1,6,0,-1,351
manu,1,0,3,1,410
manu,1,7,1,-1,300
manu,1,5,0,-1,330
manu,1,0,5,1,370
manu,1,7,2,-1,420
manu,1,2,9,1,1340
manu,1,1,8,1,1061
manu,1,5,11,1,790
manu,1,0,1,1,630
manu,1,7,1,-1,390
manu,1,6,11,-1,620
manu,1,3,9,-1,810
manu,1,5,11,-1,420
manu,1,5,10,-1,500
manu,1,7,1,-1,780
manu,1,7,2,-1,590
manu,1,1,8,1,360
manu,1,10,5,-1,1581
manu,1,4,10,1,600
manu,1,7,0,-1,820
manu,1,9,3,1,391
manu,1,5,0,-1,410
manu,1,8,1,1,571
manu,1,1,8,-1,460
manu,1,6,11,1,652
manu,1,5,3,-1,651
manu,1,7,4,-1,440
manu,1,1,7,1,551
manu,1,11,5,1,600
manu,1,4,3,-1,630
manu,1,11,5,1,690
manu,1,10,4,1,640
manu,1,10,5,1,380
manu,1,11,6,1,460
manu,1,4,3,-1,460
manu,1,0,1,1,581
manu,1,5,11,-1,580
manu,1,0,11,-1,470
manu,1,4,11,-1,411
manu,1,3,8,-1,671
manu,1,11,4,1,881
manu,1,4,11,-1,1071
manu,1,6,0,-1,523
manu,1,5,10,-1,580
manu,1,2,7,1,501
manu,1,3,9,1,470
manu,1,8,2,-1,670
manu,1,0,6,1,1010
manu,1,7,1,-1,251
manu,1,3,8,1,681
manu,1,8,2,-1,340
manu,1,6,0,-1,401
manu,1,1,8,1,330
manu,1,4,11,-1,581
manu,1,4,9,-1,1061
manu,1,10,4,1,500
manu,1,0,7,1,430
manu,1,2,11,-1,481
manu,1,0,7,1,450
manu,1,7,11,-1,531
manu,1,8,3,-1,441
manu,1,11,6,1,321
manu,1,9,3,1,850
manu,1,11,6,1,381
manu,1,9,2,1,510
manu,1,10,4,1,671
manu,1,9,3,1,410
manu,1,3,10,-1,291
manu,1,0,8,-1,880
manu,1,1,6,1,912
manu,1,10,3,1,401
manu,1,5,10,-1,330
manu,1,6,1,-1,270
manu,1,8,2,-1,280
manu,1,11,9,-1,411
manu,1,4,10,-1,660
manu,1,7,2,-1,280
manu,1,5,0,-1,310
manu,1,10,3,1,191
manu,1,10,6,1,290
manu,1,2,9,-1,591
manu,1,4,10,-1,550
manu,1,1,6,1,380
manu,1,11,2,1,500
manu,1,8,3,-1,431
manu,1,2,7,1,701
manu,1,1,7,1,460
manu,1,7,0,-1,310
manu,1,0,5,1,1090
manu,1,8,3,-1,341
manu,1,6,11,-1,280
manu,1,9,4,1,340
manu,1,2,9,-1,671
manu,1,4,9,-1,791
manu,1,11,5,1,660
manu,1,0,7,1,350
manu,1,8,1,-1,1540
manu,1,3,8,1,560
manu,1,11,5,1,530
manu,1,6,11,-1,330
manu,1,0,5,1,401
