subject,cond,note1,note2,resp,rt
manu,1,7,1,1,390
manu,1,9,11,1,750
manu,1,2,8,-1,1041
manu,1,7,2,1,1101
manu,1,0,5,1,1591
manu,1,4,9,1,2081
manu,1,11,5,-1,1091
manu,1,4,11,-1,2161
manu,1,0,5,1,771
manu,1,0,5,1,640
manu,1,10,3,1,1140
manu,1,0,6,1,740
manu,1,8,1,-1,821
manu,1,4,8,1,1120
manu,1,10,9,-1,631
manu,1,6,0,1,1162
manu,1,9,2,1,2722
manu,1,10,4,-1,910
manu,1,4,9,1,601
manu,1,0,5,1,891
manu,1,0,3,1,551
manu,1,1,8,1,861
manu,1,8,1,-1,820
manu,1,10,4,1,1691
manu,1,9,4,1,581
manu,1,1,7,1,1220
manu,1,3,9,1,963
manu,1,0,7,1,461
manu,1,10,3,1,631
manu,1,11,4,1,1221
manu,1,3,8,1,610
manu,1,2,8,1,591
manu,1,8,2,-1,621
manu,1,1,6,1,421
manu,1,6,1,-1,351
manu,1,6,0,-1,350
manu,1,1,7,1,440
manu,1,10,3,1,630
manu,1,8,1,-1,920
manu,1,1,6,1,620
manu,1,7,0,-1,351
manu,1,5,7,1,461
manu,1,11,6,1,881
manu,1,11,6,1,550
manu,1,7,2,-1,470
manu,1,6,11,-1,391
manu,1,0,7,1,341
manu,1,9,4,-1,390
manu,1,3,9,1,481
manu,1,5,11,1,860
manu,1,0,7,-1,600
manu,1,3,8,1,561
manu,1,5,0,-1,891
manu,1,3,8,1,430
manu,1,3,9,1,391
manu,1,9,4,-1,970
manu,1,11,6,-1,461
manu,1,9,3,-1,571
manu,1,3,9,1,540
manu,1,1,8,1,951
manu,1,9,3,-1,501
manu,1,1,7,1,931
manu,1,2,9,1,660
manu,1,4,0,-1,530
manu,1,3,10,-1,780
manu,1,11,4,1,311
manu,1,5,10,-1,1101
manu,1,10,6,-1,1871
manu,1,4,10,1,510
manu,1,2,8,1,640
manu,1,7,0,1,1151
manu,1,1,8,1,1552
manu,1,10,4,-1,690
manu,1,8,2,-1,590
manu,1,8,3,-1,431
manu,1,2,9,1,770
manu,1,9,2,-1,360
manu,1,3,5,1,870
manu,1,1,6,1,962
manu,1,8,3,-1,481
manu,1,9,4,-1,451
manu,1,9,2,-1,640
manu,1,8,2,-1,401
manu,1,11,5,1,370
manu,1,2,7,1,660
manu,1,0,6,1,990
manu,1,5,1,-1,371
manu,1,1,6,1,1120
manu,1,6,1,-1,251
manu,1,6,9,1,520
manu,1,0,1,1,891
manu,1,7,0,-1,670
manu,1,4,11,-1,521
manu,1,8,1,-1,522
manu,1,10,5,-1,531
manu,1,4,3,-1,470
manu,1,5,0,-1,310
manu,1,4,9,1,730
manu,1,9,2,-1,431
manu,1,8,5,-1,1660
manu,1,1,7,1,580
manu,1,5,11,-1,820
manu,1,1,8,1,571
manu,1,2,0,-1,440
manu,1,2,11,-1,210
manu,1,6,9,1,1470
manu,1,3,10,1,931
manu,1,6,1,-1,730
manu,1,7,1,-1,491
manu,1,8,3,-1,460
manu,1,0,6,1,1550
manu,1,4,10,1,670
manu,1,6,1,1,1570
manu,1,9,7,-1,571
manu,1,10,5,-1,2042
manu,1,5,0,1,340
manu,1,4,1,-1,601
manu,1,10,9,-1,480
manu,1,4,10,1,581
manu,1,2,9,1,490
manu,1,10,3,-1,391
manu,1,8,2,-1,380
manu,1,4,11,1,730
manu,1,2,7,1,901
manu,1,4,10,1,1172
manu,1,11,4,-1,391
manu,1,6,0,-1,862
manu,1,3,10,1,551
manu,1,6,11,1,800
manu,1,4,9,1,841
manu,1,5,11,1,1060
manu,1,11,5,-1,450
manu,1,6,0,1,1560
manu,1,3,7,1,770
manu,1,7,1,-1,577
manu,1,10,5,-1,420
manu,1,5,11,1,1057
manu,1,3,8,1,360
manu,1,11,4,-1,590
manu,1,10,5,-1,500
manu,1,9,3,-1,371
manu,1,5,10,1,481
manu,1,7,2,-1,510
manu,1,7,2,-1,432
manu,1,2,7,1,201
manu,1,2,7,1,500
manu,1,9,3,-1,410
manu,1,5,10,1,471
manu,1,11,5,-1,411
manu,1,6,11,1,441
manu,1,7,0,1,400
manu,1,11,6,-1,220
manu,1,6,11,1,720
manu,1,4,11,1,420
manu,1,2,8,1,1280
manu,1,10,2,-1,621
manu,1,5,10,1,571
manu,1,3,10,1,901
manu,1,2,9,1,471
manu,1,5,0,-1,800
manu,1,8,3,-1,851
manu,1,4,5,1,630
manu,1,7,1,-1,771
manu,1,10,4,-1,1010
manu,1,5,3,-1,500
manu,1,0,6,1,511
manu,1,0,7,1,370
manu,1,2,3,1,460
